time,low,high,open,close,volume
1477522800,11.42,11.51,11.5,11.49,2395.8015800000007
1477519200,11.47,11.52,11.5,11.51,4706.933283960003
1477515600,11.43,11.51,11.46,11.5,1616.2623593800006
1477512000,11.45,11.5,11.47,11.46,2247.7158650000024
1477508400,11.45,11.5,11.47,11.47,1010.9713681599999
1477504800,11.45,11.63,11.62,11.48,2659.9683302500007
1477501200,11.54,11.64,11.57,11.64,2500.7869626700026
1477497600,11.35,11.6,11.54,11.57,3940.707092960005
1477494000,11.49,11.7,11.67,11.56,4275.88753195
1477490400,11.56,11.69,11.57,11.67,1601.04811766
1477486800,11.51,11.61,11.57,11.59,1597.7094012800005
1477483200,11.49,11.59,11.52,11.53,444.0876544100001
1477479600,11.48,11.55,11.51,11.53,914.40784223
1477476000,11.41,11.52,11.49,11.51,1446.6185556500002
1477472400,11.41,11.5,11.41,11.49,185.90650999999997
1477468800,11.41,11.49,11.44,11.44,1661.43413381
1477465200,11.44,11.58,11.56,11.44,447.30635687000006
1477461600,11.46,11.6,11.5,11.6,1455.8952032400014
1477458000,11.36,11.52,11.41,11.5,1434.4918842700004
1477454400,11.41,11.62,11.55,11.41,2701.737998589997
1477450800,11.5,11.6,11.51,11.55,1652.9030964399988
1477447200,11.45,11.54,11.45,11.53,527.0398531700002
1477443600,11.42,11.5,11.47,11.47,1305.9204834199998
1477440000,11.32,11.5,11.32,11.48,634.1529101700003
